ZIP,SUFFIX,DEATHDATE,MAIDEN,MARITAL,STATE,DRIVERS,BIRTHDATE,FIRST,ETHNICITY,BIRTHPLACE,SSN,CITY,PREFIX,LAST,RACE,ADDRESS,GENDER,ID,PASSPORT
02740,,,Hagenes547,M,Massachusetts,S99951588,1979-08-24,Norah104,french,Hanover  Massachusetts  US,999-46-5746,New Bedford,Mrs.,Stamm704,white,678 Trantow Overpass,F,3e9fd20e-b81c-4698-a7c2-0559e10361fa,X43863756X
02169,,,,,Massachusetts,,2004-10-11,Galina98,irish,Barnstable Town  Massachusetts  US,999-57-6519,Quincy,,Murray856,white,779 Ledner Road Suite 24,F,ecd13907-7903-4886-a7f5-f6e687c758c4,
01519,,,Goodwin327,M,Massachusetts,S99930729,1981-02-05,Franchesca574,italian,Worcester  Massachusetts  US,999-96-3731,Grafton,Mrs.,Kuhic920,white,619 Stiedemann Rue Unit 49,F,a1dfeccd-86e4-473b-a4ab-bd613db0dc2f,X83502942X
01581,,,Blick895,M,Massachusetts,S99995087,1971-08-21,Rosanna866,italian,Quincy  Massachusetts  US,999-96-3303,Westborough,Mrs.,Hudson301,white,812 Donnelly Alley Apt 72,F,af1ee647-2278-4d36-8637-a1d043813116,X43449132X
01545,,,,,Massachusetts,,2011-08-23,Marguerite497,italian,Brockton  Massachusetts  US,999-50-3413,Shrewsbury,,Kunde533,white,474 Russel Parade,F,0321643e-675d-42df-b7b7-a994edf99d60,
01721,,,Kulas532,M,Massachusetts,S99973537,1988-06-15,Francisca486,french,Freetown  Massachusetts  US,999-40-7959,Ashland,Mrs.,Gerlach374,white,233 Will Run,F,7a739bbe-76be-4327-8234-56b5d46dd38a,X25668173X
02346,,,Lowe577,M,Massachusetts,S99926742,1977-12-03,Delinda651,french_canadian,Berlin  Massachusetts  US,999-23-2701,Middleborough,Mrs.,Leuschke194,white,727 Mills Common,F,1eb30352-5aba-4fee-9bd2-4487efe0237f,X36865919X
01913,,2008-01-08,Legros616,M,Massachusetts,S99950218,1969-01-05,Odelia236,irish,Newton  Massachusetts  US,999-16-1417,Amesbury Town,Mrs.,Rodriguez71,white,662 Grady Wynd Apt 10,F,7abcf886-1e35-4d51-8194-ac3a60151a3c,X15834921X
02370,,,,M,Massachusetts,S99960663,1971-11-30,John539,chinese,Macau  Macao Special Administrative Region of the People's Republic of China  CN,999-54-6217,Rockland,Mr.,Funk324,asian,881 Ferry Bypass,M,8d2d7a32-cca3-4160-bca8-1a9a1fda87cb,X45813664X
02138,,,,M,Massachusetts,S99960152,1979-03-31,Brad867,irish,Williamstown  Massachusetts  US,999-77-5967,Cambridge,Mr.,Anderson154,white,504 Yundt Meadow Suite 79,M,3f620118-1054-412a-8feb-1b10f01fa61c,X25830373X
01040,,,Cardona494,M,Massachusetts,S99944836,1969-12-30,Marilu588,west_indian,Santo Domingo  National District  DO,999-26-3372,Holyoke,Mrs.,Domínquez36,black,771 O'Conner Common,F,30040a13-4e26-419e-acd2-0164a3e02a18,X41240732X
01338,,,Wilkinson796,M,Massachusetts,S99933079,1987-04-21,Beula159,irish,Natick  Massachusetts  US,999-53-2793,Buckland,Mrs.,Bernier607,white,472 Schaefer Center Apt 46,F,bf086ba1-188c-48fd-b81a-74ae29b49ffe,X29376428X
01776,N/A,N/A,N/A,N/A,Massachusetts,N/A,2014-12-22,Petra678,italian,Northampton  Massachusetts  US,999-98-8145,Sudbury,N/A,Pagac496,white,578 Mills Plaza,F,0ad78bf2-dd8e-4dd1-804c-6527c394b2ae,N/A
01913,,,Nader710,M,Massachusetts,S99931423,1969-01-05,Skye332,irish,Rockland  Massachusetts  US,999-45-9405,Amesbury Town,Mrs.,Orn563,white,112 Huel Trafficway,F,ef8b7243-1eee-4bd2-a07c-888127e26175,X33206125X
01913,,,,M,Massachusetts,S99949646,1956-05-19,Toney527,swedish,Rockland  Massachusetts  US,999-68-4214,Amesbury Town,Mr.,Kemmer137,white,1051 Bayer Common,M,ce4cf349-7435-44c5-b7b5-35f232ef5d12,X7005364X
01952,,,Gulgowski816,M,Massachusetts,S99946387,1978-01-23,Claudie965,west_indian,Bridgewater  Massachusetts  US,999-46-4575,Salisbury,Mrs.,Luettgen772,black,615 Jacobson Station,F,bbf15b32-fe80-4364-a076-ed386a806e78,X10464819X
02108,,,,,Massachusetts,S99911468,1996-02-23,Danyelle408,irish,Braintree Town  Massachusetts  US,999-12-4419,Boston,Ms.,Bahringer146,white,244 Rice Lodge Suite 77,F,55ed2d76-7d9f-4958-9746-209337a6d6a8,X30298855X
01913,,,,,Massachusetts,S99972216,2002-01-21,Alvin56,irish,Acushnet  Massachusetts  US,999-48-9667,Amesbury Town,,Bartoletti50,white,422 Hauck Crossing Suite 91,M,87a78a01-9b41-4cf5-ad87-92c1634f6c48,
02601,,2005-02-16,Leannon79,M,Massachusetts,S99944826,1918-12-03,Kelley882,polish,Lynn  Massachusetts  US,999-68-4144,Barnstable Town,Mrs.,Reynolds644,white,778 Hammes Rue,F,7092bed3-17a5-43b6-b3d3-f2d29a784fcb,X38634668X
